DamageId,Id,TimePeriod,projectworkflowstageid,x,y
141555,84302,14,-1,-7363492.32495069,2083728.1885017836
137224,84303,14,3,-7342236.64742015,2084620.0230543355
178735,84307,14,6,-7475503.332420772,2048034.6378345666
141458,84311,14,3,-7357491.425160499,2059945.3899436132
141593,84313,14,3,-7348024.81566344,2060334.0663400353
139128,84315,14,2,-7337614.439523432,2081143.2402673564
139155,84316,14,2,-7337390.4647079585,2084749.8949050514
141557,84319,14,-1,-7364414.384292932,2083969.5031754726
222615,84320,14,-1,-7364414.384292932,2083969.5031754726
136353,84321,14,2,-7365611.514096924,2080493.3013920104
178817,84325,14,-1,-7474764.616279867,2046796.142401417
175043,84332,14,-1,-7337573.807909295,2069097.2452254782
175338,84333,14,-1,-7337573.807909295,2069097.2452254782
133690,84334,14,2,-7361233.986440968,2084246.6021397922
141568,84335,14,-1,-7364352.824614526,2084074.7346378302
131360,84339,14,3,-7351607.076877166,2053606.800777671
131368,84340,14,3,-7351375.532336318,2059360.338691757
131511,84342,14,2,-7342599.326321156,2086847.200421221
311688,84343,14,2,-7345710.038171883,2080865.245448955
138976,84344,14,2,-7362586.6295735985,2077889.1805998816
141548,84345,14,2,-7367028.611214721,2081486.1058030985
136331,84346,14,2,-7363959.421534062,2083588.3516622474
174764,84348,14,3,-7349680.136491533,2056130.144822433
141445,84349,14,2,-7353676.506211015,2060446.5577231415
133957,84350,14,3,-7331205.553799483,2069824.1926511663
249074,84351,14,1,-7350766.05812422,2089913.1830998887
136350,84354,14,2,-7363991.592866897,2083769.365473636
133781,84357,14,-1,-7351079.42249081,2065053.378023015
133840,84358,14,7,-7350876.487059093,2068379.701725933
309378,84360,14,-1,-7350905.764085167,2064060.6732524207
136607,84362,14,2,-7349843.330865036,2089311.6603668
141760,84363,14,2,-7340186.25371923,2078618.2021568248
134018,84364,14,3,-7340671.161421128,2080763.66686029
137225,84367,14,3,-7342180.4310773015,2084630.1124364971
131354,84371,14,3,-7350257.884648753,2056376.1699343596
141595,84372,14,1,-7356991.823285822,2062743.509488746
139077,84376,14,3,-7353125.474731588,2065423.7501547034
141790,84379,14,2,-7345596.380971786,2086977.203928287
141803,84380,14,2,-7345589.145204882,2080817.740387333
133691,84382,14,2,-7364959.293200368,2077389.9285538155
139000,84383,14,2,-7363933.929370666,2078953.7532302754
136362,84384,14,2,-7364228.592062798,2082464.999529779
306966,84388,14,-1,-7353459.433203965,2065503.4513668772
133964,84389,14,-1,-7342629.27126418,2085449.5982665382
313763,84393,14,3,-7340790.607234745,2080837.211584288
139016,84397,14,2,-7364644.815638875,2086454.1443688509
141562,84399,14,2,-7368998.743562779,2077929.8765753822
138955,84400,14,2,-7369194.220588611,2081143.8267583498
306977,84401,14,-1,-7353459.433203965,2065503.4513668772
141794,84404,14,2,,
136615,84406,14,-1,-7342161.284124883,2081468.5107830004
134664,84409,14,3,-7342704.857198427,2079581.8268903675
139187,84410,14,3,-7343101.04326616,2077607.4775576938
138993,84412,14,2,-7365424.60867188,2072390.462736608
138939,84413,14,2,-7364511.566208396,2084208.239778851
131319,84414,14,2,-7364572.680608839,2084165.536808278
141804,84416,14,2,-7345453.224106626,2080119.3702007795
131575,84417,14,3,-7340824.225720968,2080829.1181326748
